CLIENTNUM,Attrition_Flag,Customer_Age,Dependent_count,Marital_Status,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,age_group,inactivity_ratio,trans_intensity,Total_Trans_Amt_log,Total_Trans_Ct_log,Credit_Limit_log,Gender_F,Gender_M,Gender_missing,Education_Level_College,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Education_Level_missing,Income_Category_$120K +,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Income_Category_missing,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Card_Category_missing
709967358,Existing Customer,48,4,Single,36,6,2,3,30367.0,2362,1.708,1671,27,0.929,0.078,41-50,0.05555555555555555,0.75,7.421775793644647,3.332204510175204,10.321144701409654,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
753327333,Existing Customer,41,3,Married,34,4,4,1,13535.0,1291,0.653,1028,21,1.625,0.095,41-50,0.11764705882352941,0.6176470588235294,6.9363427358340495,3.091042453358316,9.513108081846005,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
806160108,Existing Customer,61,1,Married,56,2,2,3,3193.0,2517,1.831,1336,30,1.143,0.788,60+,0.03571428571428571,0.5357142857142857,7.198183577101943,3.4339872044851463,8.069029328774958,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
709327383,Existing Customer,45,2,Married,37,6,1,2,14470.0,1157,0.966,1207,21,0.909,0.08,41-50,0.02702702702702703,0.5675675675675675,7.0967213784947605,3.091042453358316,9.579901925737992,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
806165208,Existing Customer,47,1,Divorced,42,5,2,0,20979.0,1800,0.906,1178,27,0.929,0.086,41-50,0.047619047619047616,0.6428571428571429,7.072421900537371,3.332204510175204,9.951324881950288,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
708508758,Attrited Customer,62,0,Married,49,2,3,3,1438.3,0,1.047,692,16,0.6,0.0,60+,0.061224489795918366,0.32653061224489793,6.541029999189903,2.833213344056216,7.271912163268625,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
784725333,Existing Customer,41,3,Married,33,4,2,1,4470.0,680,1.608,931,18,1.571,0.152,41-50,0.06060606060606061,0.5454545454545454,6.837332814685591,2.9444389791664403,8.405367376233981,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
811604133,Existing Customer,47,4,Single,36,3,3,2,2492.0,1560,0.573,1126,23,0.353,0.626,41-50,0.08333333333333333,0.6388888888888888,7.027314514039777,3.1780538303479458,7.821242083523558,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
789124683,Existing Customer,54,2,Married,42,4,2,3,12217.0,0,1.075,1110,21,0.75,0.0,51-60,0.047619047619047616,0.5,7.01301578963963,3.091042453358316,9.410665553209713,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
771071958,Existing Customer,41,3,Single,28,6,1,2,7768.0,1669,0.797,1051,22,0.833,0.215,41-50,0.03571428571428571,0.7857142857142857,6.9584483932976555,3.1354942159291497,8.95789673495042,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
720466383,Existing Customer,59,1,Unknown,46,4,1,2,14784.0,1374,0.921,1197,23,1.3,0.093,51-60,0.021739130434782608,0.5,7.088408778675395,3.1780538303479458,9.601368432286577,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
804424383,Existing Customer,63,1,Married,56,3,3,2,10215.0,1010,0.843,1904,40,1.0,0.099,60+,0.05357142857142857,0.7142857142857143,7.552237287560802,3.713572066704308,9.231710397712375,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
718813833,Existing Customer,44,3,Single,34,5,2,2,10100.0,0,0.525,1052,18,1.571,0.0,41-50,0.058823529411764705,0.5294117647058824,6.959398512133975,2.9444389791664403,9.220389707829185,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
806624208,Existing Customer,47,4,Married,42,6,0,0,4785.0,1362,0.739,1045,38,0.9,0.285,41-50,0.0,0.9047619047619048,6.952728644624869,3.6635616461296463,8.47345026846832,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
778348233,Existing Customer,53,3,Married,33,3,2,3,2753.0,1811,0.977,1038,25,2.571,0.658,51-60,0.06060606060606061,0.7575757575757576,6.946013991099227,3.258096538021482,7.9208096792886,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
712991808,Existing Customer,53,2,Married,48,2,5,1,2451.0,1690,1.323,1596,26,1.6,0.69,51-60,0.10416666666666667,0.5416666666666666,7.3758821482150125,3.295836866004329,7.804659297056102,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
709029408,Existing Customer,41,4,Married,36,4,1,2,8923.0,2517,1.726,1589,24,1.667,0.282,41-50,0.027777777777777776,0.6666666666666666,7.371489295214277,3.2188758248682006,9.096499555552423,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
788658483,Existing Customer,53,2,Married,38,5,2,3,2650.0,1490,1.75,1411,28,1.0,0.562,51-60,0.05263157894736842,0.7368421052631579,7.252762418053187,3.367295829986474,7.8826922062890254,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
787937058,Existing Customer,58,0,Married,49,6,2,2,12555.0,1696,0.519,1291,24,0.714,0.135,51-60,0.04081632653061224,0.4897959183673469,7.163946684342547,3.2188758248682006,9.437953917961844,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
715318008,Existing Customer,55,1,Single,36,4,2,1,3520.0,1914,0.51,1407,43,0.483,0.544,51-60,0.05555555555555555,1.1944444444444444,7.249925536717988,3.784189633918261,8.166500319155052,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
713962233,Existing Customer,55,3,Married,36,6,2,3,3035.0,2298,1.724,1877,37,1.176,0.757,51-60,0.05555555555555555,1.0277777777777777,7.537962659768208,3.6375861597263857,8.01829613851552,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
785432733,Existing Customer,42,4,Married,36,2,3,3,15433.0,0,0.865,966,22,1.2,0.0,41-50,0.08333333333333333,0.6111111111111112,6.874198495453294,3.1354942159291497,9.644328147017548,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
715190283,Existing Customer,57,1,Unknown,49,3,3,2,3672.0,886,1.32,1464,28,0.556,0.241,51-60,0.061224489795918366,0.5714285714285714,7.289610521451167,3.367295829986474,8.208764045819667,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
708300483,Attrited Customer,66,0,Married,56,5,4,3,7882.0,605,1.052,704,16,0.143,0.077,60+,0.07142857142857142,0.2857142857142857,6.558197802812269,2.833213344056216,8.972463821059907,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
827111283,Existing Customer,45,3,Single,41,2,2,2,32426.0,578,1.042,1109,28,0.474,0.018,41-50,0.04878048780487805,0.6829268292682927,7.01211529430638,3.367295829986474,10.386746688084312,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
758551608,Existing Customer,51,2,Married,44,4,1,0,6205.0,2204,0.803,1347,28,0.556,0.355,51-60,0.022727272727272728,0.6363636363636364,7.206377291472252,3.367295829986474,8.733271845008325,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
773146383,Existing Customer,50,1,Single,43,3,2,3,17304.0,2517,1.449,1756,33,1.2,0.145,41-50,0.046511627906976744,0.7674418604651163,7.471363088187097,3.5263605246161616,9.758750756069444,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
778493808,Existing Customer,49,3,Married,37,5,2,1,3906.0,0,1.214,1756,32,1.0,0.0,41-50,0.05405405405405406,0.8648648648648649,7.471363088187097,3.4965075614664802,8.27052509505507,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
720572508,Existing Customer,38,4,Single,28,2,3,3,9830.0,2055,0.977,1042,23,0.917,0.209,31-40,0.10714285714285714,0.8214285714285714,6.949856455000773,3.1780538303479458,9.193295937366925,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
712661433,Existing Customer,49,4,Single,30,3,2,3,34516.0,0,1.621,1444,28,1.333,0.0,41-50,0.06666666666666667,0.9333333333333333,7.275864600546533,3.367295829986474,10.44920723527944,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
789172683,Existing Customer,56,2,Married,45,6,2,0,2283.0,1430,2.316,1741,27,0.588,0.626,51-60,0.044444444444444446,0.6,7.462789157412448,3.332204510175204,7.7336835707759,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
738406533,Existing Customer,59,1,Married,52,3,2,2,2548.0,2020,2.357,1719,27,1.7,0.793,51-60,0.038461538461538464,0.5192307692307693,7.450079569807499,3.332204510175204,7.8434564043761155,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
799723908,Existing Customer,46,3,Married,40,4,3,3,19458.0,1435,0.787,1217,27,0.8,0.074,41-50,0.075,0.675,7.1049654482698426,3.332204510175204,9.876064966958156,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
771490833,Existing Customer,52,1,Single,40,5,1,1,4745.0,1227,0.624,1140,40,0.6,0.259,51-60,0.025,1.0,7.039660349862076,3.713572066704308,8.465057436995709,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
720756708,Existing Customer,52,3,Married,41,6,3,2,2622.0,1549,1.321,1878,30,1.143,0.591,51-60,0.07317073170731707,0.7317073170731707,7.538494999413465,3.4339872044851463,7.872073979866873,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
779471883,Attrited Customer,54,1,Married,40,2,3,1,1438.3,808,0.997,705,19,0.9,0.562,51-60,0.075,0.475,6.559615237493242,2.995732273553991,7.271912163268625,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
711525033,Existing Customer,66,0,Married,54,3,4,2,3171.0,2179,1.224,1946,38,1.923,0.687,60+,0.07407407407407407,0.7037037037037037,7.5740450053721995,3.6635616461296463,8.06211758275474,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
712813458,Existing Customer,49,2,Married,36,4,2,0,19763.0,2517,0.664,1414,35,0.25,0.127,41-50,0.05555555555555555,0.9722222222222222,7.254884810077338,3.58351893845611,9.891617379965641,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
714374133,Attrited Customer,56,2,Married,36,1,3,3,15769.0,0,1.041,602,15,0.364,0.0,51-60,0.08333333333333333,0.4166666666666667,6.401917196727186,2.772588722239781,9.665864679957084,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
717891558,Existing Customer,49,4,Unknown,36,6,4,2,3298.0,2200,0.678,1052,32,0.6,0.667,41-50,0.1111111111111111,0.8888888888888888,6.959398512133975,3.4965075614664802,8.101374671228582,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
716632758,Existing Customer,49,3,Single,36,2,2,0,2802.0,2363,0.75,1295,40,0.6,0.843,41-50,0.05555555555555555,1.1111111111111112,7.16703787691222,3.713572066704308,7.938445551164788,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
768563658,Existing Customer,56,2,Married,50,4,2,3,4458.0,1880,1.107,1424,29,1.417,0.422,51-60,0.04,0.58,7.261927092702751,3.4011973816621555,8.402679804627477,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
711427458,Existing Customer,44,5,Married,35,4,1,2,6273.0,978,2.275,1359,25,1.083,0.156,41-50,0.02857142857142857,0.7142857142857143,7.215239978730097,3.258096538021482,8.744169388750624,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
714091983,Existing Customer,42,2,Single,34,4,4,3,3336.0,1753,0.69,1168,27,1.25,0.525,41-50,0.11764705882352941,0.7941176470588235,7.063903961472068,3.332204510175204,8.112827478751374,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
787584108,Existing Customer,55,3,Married,47,4,2,3,3436.0,2016,0.901,1097,33,0.833,0.587,51-60,0.0425531914893617,0.7021276595744681,7.001245622069476,3.5263605246161616,8.142354276849835,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
712030833,Attrited Customer,48,2,Married,35,2,4,4,34516.0,0,0.763,691,15,0.5,0.0,41-50,0.11428571428571428,0.42857142857142855,6.539585955617669,2.772588722239781,10.44920723527944,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
711481533,Existing Customer,39,1,Divorced,33,5,3,3,5926.0,1251,0.944,1316,28,1.154,0.211,31-40,0.09090909090909091,0.8484848484848485,7.183111701743281,3.367295829986474,8.687273461787838,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
710082708,Existing Customer,44,4,Single,32,2,4,2,23957.0,2102,0.997,1276,26,0.733,0.088,41-50,0.125,0.8125,7.152268856032539,3.295836866004329,10.084057576291276,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
708155733,Existing Customer,53,2,Single,44,4,2,2,14734.0,1634,0.989,1289,23,0.917,0.111,51-60,0.045454545454545456,0.5227272727272727,7.162397497355718,3.1780538303479458,9.597980895171796,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
788979258,Existing Customer,51,4,Single,38,4,1,4,34516.0,1515,0.592,1293,32,0.6,0.044,51-60,0.02631578947368421,0.8421052631578947,7.165493475060845,3.4965075614664802,10.44920723527944,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
807986133,Existing Customer,57,2,Married,52,5,3,3,6584.0,1817,0.62,1353,35,0.667,0.276,51-60,0.057692307692307696,0.6730769230769231,7.21081845347222,3.58351893845611,8.792549614177382,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
788730933,Existing Customer,44,2,Single,20,6,3,3,2084.0,1468,1.004,1132,28,0.556,0.704,41-50,0.15,1.4,7.0326242610280065,3.367295829986474,7.642524134232902,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
711314058,Existing Customer,49,2,Married,32,2,2,2,1687.0,1107,1.715,1670,17,2.4,0.656,41-50,0.0625,0.53125,7.421177528595393,2.8903717578961645,7.431299675155903,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
717975333,Existing Customer,50,2,Married,38,6,2,2,25300.0,1330,1.072,837,15,2.0,0.053,41-50,0.05263157894736842,0.39473684210526316,6.731018100482083,2.772588722239781,10.138599199626192,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
715971108,Existing Customer,51,4,Single,42,3,2,3,34516.0,1763,1.266,1550,41,1.05,0.051,51-60,0.047619047619047616,0.9761904761904762,7.346655163176539,3.7376696182833684,10.44920723527944,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
720096558,Existing Customer,55,2,Married,42,5,3,3,2216.0,1034,0.758,1540,36,0.286,0.467,51-60,0.07142857142857142,0.8571428571428571,7.340186835320115,3.6109179126442243,7.7039102096163115,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
719580033,Existing Customer,54,1,Unknown,43,4,2,3,2910.0,2030,0.769,1256,21,0.4,0.698,51-60,0.046511627906976744,0.4883720930232558,7.136483208590247,3.091042453358316,7.976251943745623,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
820582308,Existing Customer,42,5,Married,37,6,2,2,22913.0,1528,0.414,1394,35,0.522,0.067,41-50,0.05405405405405406,0.9459459459459459,7.240649694255466,3.58351893845611,10.03950335645357,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
789973308,Existing Customer,44,1,Single,35,3,3,3,24312.0,1932,1.312,1341,24,1.182,0.079,41-50,0.08571428571428572,0.6857142857142857,7.201916317531627,3.2188758248682006,10.098766465702033,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
712876233,Existing Customer,53,2,Single,36,5,3,2,5272.0,1515,0.857,1289,33,0.435,0.287,51-60,0.08333333333333333,0.9166666666666666,7.162397497355718,3.5263605246161616,8.57035473953047,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
804595158,Existing Customer,44,4,Single,36,6,4,2,7000.0,2517,0.475,1112,23,1.875,0.36,41-50,0.1111111111111111,0.6388888888888888,7.014814351275545,3.1780538303479458,8.853808274977197,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
714826758,Existing Customer,37,3,Single,29,4,4,2,7038.0,1801,0.751,2339,57,0.966,0.256,31-40,0.13793103448275862,1.9655172413793103,7.757906208351747,4.060443010546419,8.85922139360813,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
779058108,Existing Customer,49,3,Divorced,30,6,1,2,2536.0,1823,0.703,1468,23,0.353,0.719,41-50,0.03333333333333333,0.7666666666666667,7.292337176173877,3.1780538303479458,7.838737559599282,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
710790258,Existing Customer,47,2,Married,38,6,3,2,28904.0,1899,0.85,1334,35,0.4,0.066,41-50,0.07894736842105263,0.9210526315789473,7.19668657083435,3.58351893845611,10.271769869516577,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
715623483,Existing Customer,47,3,Married,37,4,4,0,8567.0,1695,1.242,1457,41,1.412,0.198,41-50,0.10810810810810811,1.1081081081081081,7.284820912568604,3.7376696182833684,9.055789612127585,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
715156383,Existing Customer,44,1,Unknown,36,6,2,2,34516.0,1533,0.924,1603,29,0.526,0.044,41-50,0.05555555555555555,0.8055555555555556,7.38025578842646,3.4011973816621555,10.44920723527944,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
711013983,Attrited Customer,55,4,Married,45,2,4,3,2158.0,0,0.585,615,12,0.714,0.0,51-60,0.08888888888888889,0.26666666666666666,6.423246963533519,2.5649493574615367,7.677400430514807,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
755420433,Existing Customer,59,1,Married,52,2,3,3,10133.0,1417,0.383,1068,20,0.818,0.14,51-60,0.057692307692307696,0.38461538461538464,6.974478911025045,3.044522437723423,9.223651386035854,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
794543958,Existing Customer,53,1,Divorced,35,5,4,2,34516.0,1219,1.129,1590,27,2.0,0.035,51-60,0.11428571428571428,0.7714285714285715,7.372118028337787,3.332204510175204,10.44920723527944,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
716396358,Existing Customer,52,2,Married,47,5,3,0,3085.0,1910,0.921,1531,35,0.667,0.619,51-60,0.06382978723404255,0.7446808510638298,7.3343293503005365,3.58351893845611,8.034631032923107,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
715398033,Existing Customer,53,2,Single,35,4,2,1,19040.0,2056,0.607,1212,31,0.722,0.108,51-60,0.05714285714285714,0.8857142857142857,7.10085190894405,3.4657359027997265,9.85434982797458,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
711743883,Existing Customer,43,3,Single,35,5,2,3,4026.0,0,0.483,1237,32,0.6,0.0,41-50,0.05714285714285714,0.9142857142857143,7.121252453244542,3.4965075614664802,8.300776960851454,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
719720058,Existing Customer,44,3,Single,31,4,3,1,12756.0,837,1.932,1413,14,1.8,0.066,41-50,0.0967741935483871,0.45161290322580644,7.254177846456518,2.70805020110221,9.45383541953829,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
778992108,Existing Customer,57,2,Married,45,5,3,3,5266.0,0,1.702,1516,29,1.636,0.0,51-60,0.06666666666666667,0.6444444444444445,7.324489979348532,3.4011973816621555,8.569216219483389,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
717539808,Existing Customer,51,2,Single,36,3,2,2,9930.0,0,0.731,1276,21,1.333,0.0,51-60,0.05555555555555555,0.5833333333333334,7.152268856032539,3.091042453358316,9.203416456903359,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
